"t" "date" "time" "comments" "neg" "pos" "emo"
"1" 1 "2012-07-11" "16:44:00" 330 -1.7303 1.997 0.2667
"2" 2 "2012-07-11" "16:59:00" 292 -1.7808 2.0479 0.2671
"3" 3 "2012-07-11" "17:14:00" 373 -1.7641 2.008 0.244
"4" 4 "2012-07-11" "17:29:00" 372 -1.9167 1.9704 0.0538
"5" 5 "2012-07-11" "17:44:00" 359 -1.7855 2.0084 0.2228
"6" 6 "2012-07-11" "17:59:00" 351 -1.7892 1.9772 0.188
"7" 7 "2012-07-11" "18:14:00" 367 -1.7629 1.97 0.2071
"8" 8 "2012-07-11" "18:29:00" 337 -1.7953 1.9941 0.1988
"9" 9 "2012-07-11" "18:44:00" 299 -1.796 1.9231 0.1271
"10" 10 "2012-07-11" "18:59:00" 272 -1.8199 1.9743 0.1544
"11" 11 "2012-07-11" "19:14:00" 325 -1.7323 1.9815 0.2492
"12" 12 "2012-07-11" "19:29:00" 296 -1.9088 2.0203 0.1115
"13" 13 "2012-07-11" "19:44:00" 297 -1.8418 2.0976 0.2559
"14" 14 "2012-07-11" "19:59:00" 301 -1.7309 2.0133 0.2824
"15" 15 "2012-07-11" "20:14:00" 355 -1.7577 2.0028 0.2451
"16" 16 "2012-07-11" "20:29:00" 301 -1.7309 2.1462 0.4153
"17" 17 "2012-07-11" "20:44:00" 279 -1.7814 2.147 0.3656
"18" 18 "2012-07-11" "20:59:00" 347 -1.6744 2.1758 0.5014
"19" 19 "2012-07-11" "21:14:00" 536 -1.9254 2.0541 0.1287
"20" 20 "2012-07-11" "21:29:00" 404 -1.6955 2.1832 0.4876
"21" 21 "2012-07-11" "21:44:00" 384 -1.6589 2.224 0.5651
"22" 22 "2012-07-11" "21:59:00" 292 -1.6849 2.1712 0.4863
"23" 23 "2012-07-11" "22:14:00" 257 -1.6732 2.0973 0.4241
"24" 24 "2012-07-11" "22:29:00" 275 -1.8145 2.0036 0.1891
"25" 25 "2012-07-11" "22:44:00" 226 -1.7434 2.1504 0.4071
"26" 26 "2012-07-11" "22:59:00" 166 -1.7229 2.0542 0.3313
"27" 27 "2012-07-11" "23:14:00" 158 -1.8734 1.9494 0.0759
"28" 28 "2012-07-11" "23:29:00" 137 -1.7737 2.0219 0.2482
"29" 29 "2012-07-11" "23:44:00" 113 -1.6903 2.0708 0.3805
"30" 30 "2012-07-11" "23:59:00" 99 -1.6061 2.0101 0.404
"31" 31 "2012-07-12" "00:14:00" 79 -1.8481 1.962 0.1139
"32" 32 "2012-07-12" "00:29:00" 70 -1.9 2.1143 0.2143
"33" 33 "2012-07-12" "00:44:00" 51 -1.8235 2.1569 0.3333
"34" 34 "2012-07-12" "00:59:00" 46 -1.8913 1.8478 -0.0435
"35" 35 "2012-07-12" "01:14:00" 28 -1.4286 2.1786 0.75
"36" 36 "2012-07-12" "01:29:00" 42 -1.7381 1.9048 0.1667
"37" 37 "2012-07-12" "01:44:00" 36 -1.9167 1.8611 -0.0556
"38" 38 "2012-07-12" "01:59:00" 36 -2.0278 1.7778 -0.25
"39" 39 "2012-07-12" "02:14:00" 34 -1.4118 2.1471 0.7353
"40" 40 "2012-07-12" "02:29:00" 22 -1.5909 2.3182 0.7273
"41" 41 "2012-07-12" "02:44:00" 16 -1.75 2.1875 0.4375
"42" 42 "2012-07-12" "02:59:00" 9 -2 2.3333 0.3333
"43" 43 "2012-07-12" "03:14:00" 19 -1.7895 1.9474 0.1579
"44" 44 "2012-07-12" "03:29:00" 19 -1.7368 2.2105 0.4737
"45" 45 "2012-07-12" "03:44:00" 14 -1.2143 2.6429 1.4286
"46" 46 "2012-07-12" "03:59:00" 9 -1.7778 2.1111 0.3333
"47" 47 "2012-07-12" "04:14:00" 21 -1.8095 2.1429 0.3333
"48" 48 "2012-07-12" "04:29:00" 15 -1.4667 2.0667 0.6
"49" 49 "2012-07-12" "04:44:00" 25 -1.88 1.96 0.08
"50" 50 "2012-07-12" "04:59:00" 26 -1.7692 1.9615 0.1923
"51" 51 "2012-07-12" "05:14:00" 50 -1.78 2.14 0.36
"52" 52 "2012-07-12" "05:29:00" 66 -1.7273 2.0758 0.3485
"53" 53 "2012-07-12" "05:44:00" 79 -1.8228 2.0506 0.2278
"54" 54 "2012-07-12" "05:59:00" 83 -1.5783 2.2771 0.6988
"55" 55 "2012-07-12" "06:14:00" 122 -1.6803 2.1475 0.4672
"56" 56 "2012-07-12" "06:29:00" 171 -1.8129 2 0.1871
"57" 57 "2012-07-12" "06:44:00" 183 -1.7158 2.0765 0.3607
"58" 58 "2012-07-12" "06:59:00" 195 -1.8359 2.0872 0.2513
"59" 59 "2012-07-12" "07:14:00" 266 -1.7481 2.0489 0.3008
"60" 60 "2012-07-12" "07:29:00" 279 -1.8065 1.9928 0.1864
"61" 61 "2012-07-12" "07:44:00" 332 -1.8012 2.006 0.2048
"62" 62 "2012-07-12" "07:59:00" 267 -1.794 2.0637 0.2697
"63" 63 "2012-07-12" "08:14:00" 322 -1.7826 1.9969 0.2143
"64" 64 "2012-07-12" "08:29:00" 313 -1.7412 2.0703 0.3291
"65" 65 "2012-07-12" "08:44:00" 369 -1.7913 2.0163 0.2249
"66" 66 "2012-07-12" "08:59:00" 290 -1.6483 2.0897 0.4414
"67" 67 "2012-07-12" "09:14:00" 339 -1.6991 2.0855 0.3864
"68" 68 "2012-07-12" "09:29:00" 375 -1.7093 2.0613 0.352
"69" 69 "2012-07-12" "09:44:00" 442 -1.7511 2.0204 0.2692
"70" 70 "2012-07-12" "09:59:00" 402 -1.7587 2.092 0.3333
"71" 71 "2012-07-12" "10:14:00" 448 -1.8147 1.9888 0.1741
"72" 72 "2012-07-12" "10:29:00" 384 -1.7422 2.0885 0.3464
"73" 73 "2012-07-12" "10:44:00" 540 -1.75 2.0537 0.3037
"74" 74 "2012-07-12" "10:59:00" 485 -1.6577 2.0907 0.433
"75" 75 "2012-07-12" "11:14:00" 500 -1.65 2.09 0.44
"76" 76 "2012-07-12" "11:29:00" 456 -1.7303 2.0175 0.2873
"77" 77 "2012-07-12" "11:44:00" 429 -1.6783 2.1515 0.4732
"78" 78 "2012-07-12" "11:59:00" 383 -1.6841 2.1227 0.4386
"79" 79 "2012-07-12" "12:14:00" 364 -1.75 2.0852 0.3352
"80" 80 "2012-07-12" "12:29:00" 417 -1.6619 2.1223 0.4604
"81" 81 "2012-07-12" "12:44:00" 424 -1.6981 2.1108 0.4127
"82" 82 "2012-07-12" "12:59:00" 351 -1.6353 2.1225 0.4872
"83" 83 "2012-07-12" "13:14:00" 344 -1.6279 2.1017 0.4738
"84" 84 "2012-07-12" "13:29:00" 364 -1.6951 2.1566 0.4615
"85" 85 "2012-07-12" "13:44:00" 360 -1.6528 2.2361 0.5833
"86" 86 "2012-07-12" "13:59:00" 325 -1.6369 2.1969 0.56
"87" 87 "2012-07-12" "14:14:00" 371 -1.6739 2.1078 0.434
"88" 88 "2012-07-12" "14:29:00" 312 -1.7179 2.1474 0.4295
"89" 89 "2012-07-12" "14:44:00" 297 -1.6768 2.1751 0.4983
"90" 90 "2012-07-12" "14:59:00" 335 -1.6567 2.0866 0.4299
"91" 91 "2012-07-12" "15:14:00" 331 -1.6737 2.0937 0.4199
"92" 92 "2012-07-12" "15:29:00" 299 -1.7258 2.0535 0.3278
"93" 93 "2012-07-12" "15:44:00" 334 -1.6138 2.0719 0.4581
"94" 94 "2012-07-12" "15:59:00" 364 -1.6703 2.1126 0.4423
"95" 95 "2012-07-12" "16:14:00" 351 -1.7293 2.1111 0.3818
"96" 96 "2012-07-12" "16:29:00" 386 -1.7306 2.1995 0.4689
"97" 97 "2012-07-12" "16:44:00" 343 -1.6968 2.0816 0.3848
"98" 98 "2012-07-12" "16:59:00" 355 -1.8113 2.1211 0.3099
"99" 99 "2012-07-12" "17:14:00" 384 -1.8047 2.1068 0.3021
"100" 100 "2012-07-12" "17:29:00" 403 -1.7816 2.0868 0.3052
"101" 101 "2012-07-12" "17:44:00" 445 -1.8517 1.9865 0.1348
"102" 102 "2012-07-12" "17:59:00" 390 -1.8974 1.9872 0.0897
"103" 103 "2012-07-12" "18:14:00" 460 -1.687 2.1196 0.4326
"104" 104 "2012-07-12" "18:29:00" 418 -1.8182 2.0933 0.2751
"105" 105 "2012-07-12" "18:44:00" 358 -1.8156 2.067 0.2514
"106" 106 "2012-07-12" "18:59:00" 367 -1.8801 2.1226 0.2425
"107" 107 "2012-07-12" "19:14:00" 369 -1.8184 2.1192 0.3008
"108" 108 "2012-07-12" "19:29:00" 356 -1.7837 2.0899 0.3062
"109" 109 "2012-07-12" "19:44:00" 369 -1.8564 2.1707 0.3144
"110" 110 "2012-07-12" "19:59:00" 317 -1.7066 2.2334 0.5268
"111" 111 "2012-07-12" "20:14:00" 336 -1.7679 2.2202 0.4524
"112" 112 "2012-07-12" "20:29:00" 334 -1.8563 2.1018 0.2455
"113" 113 "2012-07-12" "20:44:00" 304 -1.7599 2.1809 0.4211
"114" 114 "2012-07-12" "20:59:00" 295 -1.7458 2.1356 0.3898
"115" 115 "2012-07-12" "21:14:00" 479 -1.8225 2.142 0.3194
"116" 116 "2012-07-12" "21:29:00" 447 -1.6555 2.2103 0.5548
"117" 117 "2012-07-12" "21:44:00" 421 -1.7696 2.171 0.4014
"118" 118 "2012-07-12" "21:59:00" 318 -1.7925 2.0755 0.283
"119" 119 "2012-07-12" "22:14:00" 297 -1.8081 2.1145 0.3064
"120" 120 "2012-07-12" "22:29:00" 273 -1.6996 2.1319 0.4322
"121" 121 "2012-07-12" "22:44:00" 245 -1.7796 2.0286 0.249
"122" 122 "2012-07-12" "22:59:00" 187 -1.8503 2.1979 0.3476
"123" 123 "2012-07-12" "23:14:00" 163 -1.7362 2.1411 0.4049
"124" 124 "2012-07-12" "23:29:00" 121 -1.6694 1.9752 0.3058
"125" 125 "2012-07-12" "23:44:00" 96 -1.9167 2.1042 0.1875
"126" 126 "2012-07-12" "23:59:00" 90 -1.9667 2.0222 0.0556
"127" 127 "2012-07-13" "00:14:00" 82 -1.7561 2.061 0.3049
"128" 128 "2012-07-13" "00:29:00" 74 -1.7027 2.1892 0.4865
"129" 129 "2012-07-13" "00:44:00" 60 -1.75 2.2667 0.5167
"130" 130 "2012-07-13" "00:59:00" 49 -1.6531 2.3265 0.6735
"131" 131 "2012-07-13" "01:14:00" 67 -1.7761 2.209 0.4328
"132" 132 "2012-07-13" "01:29:00" 50 -1.94 1.94 0
"133" 133 "2012-07-13" "01:44:00" 29 -1.6207 1.931 0.3103
"134" 134 "2012-07-13" "01:59:00" 36 -2.1667 1.8889 -0.2778
"135" 135 "2012-07-13" "02:14:00" 38 -1.7895 1.9737 0.1842
"136" 136 "2012-07-13" "02:29:00" 34 -1.7941 2.0882 0.2941
"137" 137 "2012-07-13" "02:44:00" 42 -1.8571 1.8571 0
"138" 138 "2012-07-13" "02:59:00" 43 -1.7907 2.1163 0.3256
"139" 139 "2012-07-13" "03:14:00" 20 -2 1.75 -0.25
"140" 140 "2012-07-13" "03:29:00" 60 -1.8 2.05 0.25
"141" 141 "2012-07-13" "03:44:00" 45 -2.0222 1.6444 -0.3778
"142" 142 "2012-07-13" "03:59:00" 45 -2.0667 1.7111 -0.3556
"143" 143 "2012-07-13" "04:14:00" 28 -2.0357 1.6429 -0.3929
"144" 144 "2012-07-13" "04:29:00" 28 -2.0714 2 -0.0714
"145" 145 "2012-07-13" "04:44:00" 25 -2 1.88 -0.12
"146" 146 "2012-07-13" "04:59:00" 31 -1.9032 1.8387 -0.0645
"147" 147 "2012-07-13" "05:14:00" 67 -1.6567 2.1642 0.5075
"148" 148 "2012-07-13" "05:29:00" 71 -1.8592 2.1127 0.2535
"149" 149 "2012-07-13" "05:44:00" 101 -1.8218 2.0891 0.2673
"150" 150 "2012-07-13" "05:59:00" 128 -1.8438 2.0078 0.1641
"151" 151 "2012-07-13" "06:14:00" 165 -1.6485 2.0788 0.4303
"152" 152 "2012-07-13" "06:29:00" 241 -2.112 2.0415 -0.0705
"153" 153 "2012-07-13" "06:44:00" 240 -1.65 2.1542 0.5042
"154" 154 "2012-07-13" "06:59:00" 311 -1.8424 1.9807 0.1383
"155" 155 "2012-07-13" "07:14:00" 334 -1.7934 2.0958 0.3024
"156" 156 "2012-07-13" "07:29:00" 324 -1.7809 2.0617 0.2809
"157" 157 "2012-07-13" "07:44:00" 338 -1.7041 2.1036 0.3994
"158" 158 "2012-07-13" "07:59:00" 380 -1.7158 2.1895 0.4737
"159" 159 "2012-07-13" "08:14:00" 329 -1.766 2.1125 0.3465
"160" 160 "2012-07-13" "08:29:00" 383 -1.7493 2.1149 0.3655
"161" 161 "2012-07-13" "08:44:00" 376 -1.7048 2.0771 0.3723
"162" 162 "2012-07-13" "08:59:00" 418 -1.701 2.0861 0.3852
"163" 163 "2012-07-13" "09:14:00" 482 -1.7199 2.0685 0.3485
"164" 164 "2012-07-13" "09:29:00" 385 -1.6701 2.0987 0.4286
"165" 165 "2012-07-13" "09:44:00" 391 -1.6292 2.0972 0.468
"166" 166 "2012-07-13" "09:59:00" 368 -1.6793 2.2473 0.5679
"167" 167 "2012-07-13" "10:14:00" 407 -1.683 2.1204 0.4373
"168" 168 "2012-07-13" "10:29:00" 396 -1.5833 2.2955 0.7121
"169" 169 "2012-07-13" "10:44:00" 375 -1.5493 2.2267 0.6773
"170" 170 "2012-07-13" "10:59:00" 386 -1.5855 2.1295 0.544
"171" 171 "2012-07-13" "11:14:00" 417 -1.6043 2.2374 0.6331
"172" 172 "2012-07-13" "11:29:00" 455 -1.6505 2.1868 0.5363
"173" 173 "2012-07-13" "11:44:00" 344 -1.6948 2.0872 0.3924
"174" 174 "2012-07-13" "11:59:00" 342 -1.652 2.2135 0.5614
"175" 175 "2012-07-13" "12:14:00" 336 -1.6369 2.1696 0.5327
"176" 176 "2012-07-13" "12:29:00" 403 -1.6551 2.1861 0.531
"177" 177 "2012-07-13" "12:44:00" 375 -1.6053 2.2027 0.5973
"178" 178 "2012-07-13" "12:59:00" 343 -1.7026 2.1749 0.4723
"179" 179 "2012-07-13" "13:14:00" 320 -1.5969 2.1406 0.5438
"180" 180 "2012-07-13" "13:29:00" 307 -1.6743 2.241 0.5668
"181" 181 "2012-07-13" "13:44:00" 314 -1.6561 2.1338 0.4777
"182" 182 "2012-07-13" "13:59:00" 343 -1.5219 2.2945 0.7726
"183" 183 "2012-07-13" "14:14:00" 313 -1.607 2.1757 0.5687
"184" 184 "2012-07-13" "14:29:00" 364 -1.6429 2.1291 0.4863
"185" 185 "2012-07-13" "14:44:00" 320 -1.6 2.1531 0.5531
"186" 186 "2012-07-13" "14:59:00" 342 -1.4971 2.2573 0.7602
"187" 187 "2012-07-13" "15:14:00" 342 -1.5731 2.1637 0.5906
"188" 188 "2012-07-13" "15:29:00" 283 -1.689 2.2226 0.5336
"189" 189 "2012-07-13" "15:44:00" 308 -1.6104 2.1429 0.5325
"190" 190 "2012-07-13" "15:59:00" 352 -1.6335 2.1477 0.5142
"191" 191 "2012-07-13" "16:14:00" 362 -1.6796 2.1271 0.4475
"192" 192 "2012-07-13" "16:29:00" 368 -1.6413 2.2255 0.5842
"193" 193 "2012-07-13" "16:44:00" 343 -1.7493 2.1399 0.3907
"194" 194 "2012-07-13" "16:59:00" 378 -1.5635 2.1984 0.6349
"195" 195 "2012-07-13" "17:14:00" 354 -1.6328 2.2288 0.596
"196" 196 "2012-07-13" "17:29:00" 515 -1.6951 2.1922 0.4971
"197" 197 "2012-07-13" "17:44:00" 460 -1.6696 2.1891 0.5196
"198" 198 "2012-07-13" "17:59:00" 452 -1.6858 2.2013 0.5155
"199" 199 "2012-07-13" "18:14:00" 376 -1.6596 2.1489 0.4894
"200" 200 "2012-07-13" "18:29:00" 378 -1.7063 2.1455 0.4392
"201" 201 "2012-07-13" "18:44:00" 316 -1.6266 2.1424 0.5158
"202" 202 "2012-07-13" "18:59:00" 334 -1.6527 2.1856 0.5329
"203" 203 "2012-07-13" "19:14:00" 355 -1.7324 2.1606 0.4282
"204" 204 "2012-07-13" "19:29:00" 395 -1.5797 2.3873 0.8076
"205" 205 "2012-07-13" "19:44:00" 357 -1.6975 2.2829 0.5854
"206" 206 "2012-07-13" "19:59:00" 281 -1.7544 2.2562 0.5018
"207" 207 "2012-07-13" "20:14:00" 315 -1.5683 2.1302 0.5619
"208" 208 "2012-07-13" "20:29:00" 362 -1.5884 2.1657 0.5773
"209" 209 "2012-07-13" "20:44:00" 277 -1.6354 2.1733 0.5379
"210" 210 "2012-07-13" "20:59:00" 287 -1.554 2.2091 0.6551
"211" 211 "2012-07-13" "21:14:00" 267 -1.8052 2.1011 0.2959
"212" 212 "2012-07-13" "21:29:00" 401 -1.8279 2.0773 0.2494
"213" 213 "2012-07-13" "21:44:00" 300 -1.8333 2.1333 0.3
"214" 214 "2012-07-13" "21:59:00" 279 -1.7527 2.1613 0.4086
"215" 215 "2012-07-13" "22:14:00" 242 -1.7397 2.2851 0.5455
"216" 216 "2012-07-13" "22:29:00" 220 -1.7773 2.0955 0.3182
"217" 217 "2012-07-13" "22:44:00" 214 -1.7944 2.0467 0.2523
"218" 218 "2012-07-13" "22:59:00" 155 -1.8516 2.0065 0.1548
"219" 219 "2012-07-13" "23:14:00" 188 -1.9574 2.0585 0.1011
"220" 220 "2012-07-13" "23:29:00" 166 -1.8675 2.0783 0.2108
"221" 221 "2012-07-13" "23:44:00" 143 -1.7273 2.0769 0.3497
"222" 222 "2012-07-13" "23:59:00" 109 -1.6147 2.0917 0.4771
"223" 223 "2012-07-14" "00:14:00" 79 -1.8354 2.038 0.2025
"224" 224 "2012-07-14" "00:29:00" 89 -1.8764 2.1461 0.2697
"225" 225 "2012-07-14" "00:44:00" 90 -1.6333 2.1 0.4667
"226" 226 "2012-07-14" "00:59:00" 53 -1.8868 2.0755 0.1887
"227" 227 "2012-07-14" "01:14:00" 52 -1.9423 1.9615 0.0192
"228" 228 "2012-07-14" "01:29:00" 42 -1.7857 1.9762 0.1905
"229" 229 "2012-07-14" "01:44:00" 32 -2.1875 2 -0.1875
"230" 230 "2012-07-14" "01:59:00" 36 -1.8056 1.7222 -0.0833
"231" 231 "2012-07-14" "02:14:00" 34 -1.8529 1.7941 -0.0588
"232" 232 "2012-07-14" "02:29:00" 25 -1.96 1.8 -0.16
"233" 233 "2012-07-14" "02:44:00" 24 -1.6667 1.8333 0.1667
"234" 234 "2012-07-14" "02:59:00" 22 -1.8182 2.3636 0.5455
"235" 235 "2012-07-14" "03:14:00" 39 -1.9744 1.9231 -0.0513
"236" 236 "2012-07-14" "03:29:00" 23 -2.3043 1.9565 -0.3478
"237" 237 "2012-07-14" "03:44:00" 30 -2.0667 1.8333 -0.2333
"238" 238 "2012-07-14" "03:59:00" 20 -1.75 1.85 0.1
"239" 239 "2012-07-14" "04:14:00" 18 -1.7778 1.8333 0.0556
"240" 240 "2012-07-14" "04:29:00" 24 -1.9583 2.25 0.2917
"241" 241 "2012-07-14" "04:44:00" 17 -1.9412 2.0588 0.1176
"242" 242 "2012-07-14" "04:59:00" 55 -2.0364 1.9818 -0.0545
"243" 243 "2012-07-14" "05:14:00" 47 -1.7021 2.1489 0.4468
"244" 244 "2012-07-14" "05:29:00" 48 -1.75 2.0625 0.3125
"245" 245 "2012-07-14" "05:44:00" 43 -1.7209 2.0233 0.3023
"246" 246 "2012-07-14" "05:59:00" 43 -1.7907 2 0.2093
"247" 247 "2012-07-14" "06:14:00" 73 -1.6986 2.1781 0.4795
"248" 248 "2012-07-14" "06:29:00" 97 -1.7113 2.2165 0.5052
"249" 249 "2012-07-14" "06:44:00" 127 -1.4252 2.4173 0.9921
"250" 250 "2012-07-14" "06:59:00" 155 -1.6258 2.4 0.7742
"251" 251 "2012-07-14" "07:14:00" 184 -1.8098 2.1196 0.3098
"252" 252 "2012-07-14" "07:29:00" 181 -1.7348 2.1713 0.4365
"253" 253 "2012-07-14" "07:44:00" 212 -1.7217 2.0755 0.3538
"254" 254 "2012-07-14" "07:59:00" 245 -1.7143 2.2367 0.5224
"255" 255 "2012-07-14" "08:14:00" 291 -1.7388 2.1375 0.3986
"256" 256 "2012-07-14" "08:29:00" 387 -1.7959 2.1111 0.3152
"257" 257 "2012-07-14" "08:44:00" 362 -1.768 2.0138 0.2459
"258" 258 "2012-07-14" "08:59:00" 366 -1.7869 2.0628 0.276
"259" 259 "2012-07-14" "09:14:00" 379 -1.7045 2.1715 0.467
"260" 260 "2012-07-14" "09:29:00" 302 -1.6556 2.1225 0.4669
"261" 261 "2012-07-14" "09:44:00" 326 -1.727 2.0276 0.3006
"262" 262 "2012-07-14" "09:59:00" 338 -1.6598 2.1095 0.4497
"263" 263 "2012-07-14" "10:14:00" 287 -1.7073 2.101 0.3937
"264" 264 "2012-07-14" "10:29:00" 300 -1.66 2.1267 0.4667
"265" 265 "2012-07-14" "10:44:00" 316 -1.6424 2.212 0.5696
"266" 266 "2012-07-14" "10:59:00" 262 -1.729 2.1565 0.4275
"267" 267 "2012-07-14" "11:14:00" 269 -1.6543 2.1375 0.4833
"268" 268 "2012-07-14" "11:29:00" 283 -1.6042 2.1625 0.5583
"269" 269 "2012-07-14" "11:44:00" 260 -1.6654 2.2538 0.5885
"270" 270 "2012-07-14" "11:59:00" 297 -1.7441 2.101 0.3569
"271" 271 "2012-07-14" "12:14:00" 274 -1.6423 2.1825 0.5401
"272" 272 "2012-07-14" "12:29:00" 244 -1.7582 2.1393 0.3811
"273" 273 "2012-07-14" "12:44:00" 222 -1.7523 2.0631 0.3108
"274" 274 "2012-07-14" "12:59:00" 304 -1.6743 2.1809 0.5066
"275" 275 "2012-07-14" "13:14:00" 313 -1.5272 2.246 0.7188
"276" 276 "2012-07-14" "13:29:00" 333 -1.7087 2.2042 0.4955
"277" 277 "2012-07-14" "13:44:00" 270 -1.7741 2.1519 0.3778
"278" 278 "2012-07-14" "13:59:00" 272 -1.6213 2.2794 0.6581
"279" 279 "2012-07-14" "14:14:00" 273 -1.7875 2.1905 0.4029
"280" 280 "2012-07-14" "14:29:00" 322 -1.5745 2.2422 0.6677
"281" 281 "2012-07-14" "14:44:00" 220 -1.6364 2.15 0.5136
"282" 282 "2012-07-14" "14:59:00" 210 -1.6619 2.1143 0.4524
"283" 283 "2012-07-14" "15:14:00" 213 -1.6291 2.0751 0.446
"284" 284 "2012-07-14" "15:29:00" 301 -1.6578 2.309 0.6512
"285" 285 "2012-07-14" "15:44:00" 306 -1.7157 2.1961 0.4804
"286" 286 "2012-07-14" "15:59:00" 350 -1.5914 2.26 0.6686
"287" 287 "2012-07-14" "16:14:00" 276 -1.6848 2.192 0.5072
"288" 288 "2012-07-14" "16:29:00" 262 -1.7481 2.1031 0.355
"289" 289 "2012-07-14" "16:44:00" 273 -1.6703 2.1502 0.4799
"290" 290 "2012-07-14" "16:59:00" 229 -1.8079 2.083 0.2751
"291" 291 "2012-07-14" "17:14:00" 268 -1.8209 2.1007 0.2799
"292" 292 "2012-07-14" "17:29:00" 278 -1.8381 2.0396 0.2014
"293" 293 "2012-07-14" "17:44:00" 310 -1.829 2.0935 0.2645
"294" 294 "2012-07-14" "17:59:00" 195 -1.6923 2.1487 0.4564
"295" 295 "2012-07-14" "18:14:00" 224 -1.6429 2.2143 0.5714
"296" 296 "2012-07-14" "18:29:00" 197 -1.6904 2.203 0.5127
"297" 297 "2012-07-14" "18:44:00" 207 -1.6618 2.2705 0.6087
"298" 298 "2012-07-14" "18:59:00" 360 -1.4889 2.5333 1.0444
"299" 299 "2012-07-14" "19:14:00" 271 -1.5941 2.3542 0.7601
"300" 300 "2012-07-14" "19:29:00" 234 -1.6197 2.1581 0.5385
"301" 301 "2012-07-14" "19:44:00" 243 -1.5556 2.2798 0.7243
"302" 302 "2012-07-14" "19:59:00" 279 -1.7849 2.1685 0.3835
"303" 303 "2012-07-14" "20:14:00" 240 -1.7333 2.125 0.3917
"304" 304 "2012-07-14" "20:29:00" 221 -1.7285 2.1629 0.4344
"305" 305 "2012-07-14" "20:44:00" 201 -1.9055 2.0647 0.1592
"306" 306 "2012-07-14" "20:59:00" 194 -1.8093 2.1289 0.3196
"307" 307 "2012-07-14" "21:14:00" 216 -1.8657 2.0787 0.213
"308" 308 "2012-07-14" "21:29:00" 228 -1.6842 2.2544 0.5702
"309" 309 "2012-07-14" "21:44:00" 241 -1.751 2.2075 0.4564
"310" 310 "2012-07-14" "21:59:00" 192 -1.6823 2.151 0.4688
"311" 311 "2012-07-14" "22:14:00" 176 -1.7727 2.1648 0.392
"312" 312 "2012-07-14" "22:29:00" 197 -1.665 2.264 0.599
"313" 313 "2012-07-14" "22:44:00" 143 -1.8811 2.1469 0.2657
"314" 314 "2012-07-14" "22:59:00" 147 -1.9456 2.0612 0.1156
"315" 315 "2012-07-14" "23:14:00" 155 -1.729 2.0258 0.2968
"316" 316 "2012-07-14" "23:29:00" 147 -1.7211 2.2449 0.5238
"317" 317 "2012-07-14" "23:44:00" 136 -1.6838 2.1691 0.4853
"318" 318 "2012-07-14" "23:59:00" 117 -1.7607 2.2991 0.5385
"319" 319 "2012-07-15" "00:14:00" 76 -1.7237 2.0921 0.3684
"320" 320 "2012-07-15" "00:29:00" 65 -1.7385 2.1231 0.3846
"321" 321 "2012-07-15" "00:44:00" 79 -1.8734 1.9873 0.1139
"322" 322 "2012-07-15" "00:59:00" 45 -1.7333 2.4444 0.7111
"323" 323 "2012-07-15" "01:14:00" 42 -1.9524 2.1667 0.2143
"324" 324 "2012-07-15" "01:29:00" 26 -1.5385 1.8077 0.2692
"325" 325 "2012-07-15" "01:44:00" 31 -1.8065 2.129 0.3226
"326" 326 "2012-07-15" "01:59:00" 41 -1.9268 2.1463 0.2195
"327" 327 "2012-07-15" "02:14:00" 31 -1.8065 2 0.1935
"328" 328 "2012-07-15" "02:29:00" 24 -1.625 2 0.375
"329" 329 "2012-07-15" "02:44:00" 15 -1.6667 2.6667 1
"330" 330 "2012-07-15" "02:59:00" 15 -1.2667 2.2667 1
"331" 331 "2012-07-15" "03:14:00" 24 -1.7083 2 0.2917
"332" 332 "2012-07-15" "03:29:00" 18 -1.5556 2.5556 1
"333" 333 "2012-07-15" "03:44:00" 32 -1.4688 2.2188 0.75
"334" 334 "2012-07-15" "03:59:00" 49 -1.8367 2.1633 0.3265
"335" 335 "2012-07-15" "04:14:00" 43 -1.7674 2.1163 0.3488
"336" 336 "2012-07-15" "04:29:00" 21 -1.6667 2.1429 0.4762
"337" 337 "2012-07-15" "04:44:00" 54 -1.963 1.6667 -0.2963
"338" 338 "2012-07-15" "04:59:00" 55 -2.0545 1.4909 -0.5636
"339" 339 "2012-07-15" "05:14:00" 53 -2 1.8491 -0.1509
"340" 340 "2012-07-15" "05:29:00" 42 -1.8095 2.0238 0.2143
"341" 341 "2012-07-15" "05:44:00" 29 -1.7586 2.3448 0.5862
"342" 342 "2012-07-15" "05:59:00" 37 -1.4865 2.1622 0.6757
"343" 343 "2012-07-15" "06:14:00" 86 -1.9651 1.9884 0.0233
"344" 344 "2012-07-15" "06:29:00" 90 -1.6778 2.0667 0.3889
"345" 345 "2012-07-15" "06:44:00" 60 -1.6667 2.1833 0.5167
"346" 346 "2012-07-15" "06:59:00" 63 -1.9365 2.2381 0.3016
"347" 347 "2012-07-15" "07:14:00" 115 -1.513 2.1217 0.6087
"348" 348 "2012-07-15" "07:29:00" 114 -1.7105 2.1053 0.3947
"349" 349 "2012-07-15" "07:44:00" 135 -1.9704 1.9778 0.0074
"350" 350 "2012-07-15" "07:59:00" 152 -1.6974 2.2434 0.5461
"351" 351 "2012-07-15" "08:14:00" 206 -1.7718 2.1845 0.4126
"352" 352 "2012-07-15" "08:29:00" 258 -1.9922 2.0891 0.0969
