"PPE_NO";"GODZ";"FLAGA_EXTR";"ENERGIA";"WARTOSC"
"PLTAUD475000010462";2019-01-01 00:15:00;0;"A+";9,84
"PLTAUD475000010462";2019-01-01 00:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 00:15:00;0;"Ri+";1,32
"PLTAUD475000010462";2019-01-01 00:30:00;0;"A+";10,56
"PLTAUD475000010462";2019-01-01 00:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 00:30:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-01-01 00:45:00;0;"A+";10,44
"PLTAUD475000010462";2019-01-01 00:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 00:45:00;0;"Ri+";1,44
"PLTAUD475000010462";2019-01-01 01:00:00;0;"A+";11,4
"PLTAUD475000010462";2019-01-01 01:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 01:00:00;0;"Ri+";1,92
"PLTAUD475000010462";2019-01-01 01:15:00;0;"A+";9,6
"PLTAUD475000010462";2019-01-01 01:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 01:15:00;0;"Ri+";1,8
"PLTAUD475000010462";2019-01-01 01:30:00;0;"A+";10,2
"PLTAUD475000010462";2019-01-01 01:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 01:30:00;0;"Ri+";2,04
"PLTAUD475000010462";2019-01-01 01:45:00;0;"A+";9,24
"PLTAUD475000010462";2019-01-01 01:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 01:45:00;0;"Ri+";2,04
"PLTAUD475000010462";2019-01-01 02:00:00;0;"A+";9
"PLTAUD475000010462";2019-01-01 02:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 02:00:00;0;"Ri+";1,8
"PLTAUD475000010462";2019-01-01 02:15:00;0;"A+";8,76
"PLTAUD475000010462";2019-01-01 02:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 02:15:00;0;"Ri+";1,44
"PLTAUD475000010462";2019-01-01 02:30:00;0;"A+";9,12
"PLTAUD475000010462";2019-01-01 02:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 02:30:00;0;"Ri+";2,28
"PLTAUD475000010462";2019-01-01 02:45:00;0;"A+";8,4
"PLTAUD475000010462";2019-01-01 02:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 02:45:00;0;"Ri+";1,68
"PLTAUD475000010462";2019-01-01 03:00:00;0;"A+";9
"PLTAUD475000010462";2019-01-01 03:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 03:00:00;0;"Ri+";1,92
"PLTAUD475000010462";2019-01-01 03:15:00;0;"A+";8,52
"PLTAUD475000010462";2019-01-01 03:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 03:15:00;0;"Ri+";1,92
"PLTAUD475000010462";2019-01-01 03:30:00;0;"A+";8,28
"PLTAUD475000010462";2019-01-01 03:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 03:30:00;0;"Ri+";1,68
"PLTAUD475000010462";2019-01-01 03:45:00;0;"A+";8,76
"PLTAUD475000010462";2019-01-01 03:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 03:45:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-01-01 04:00:00;0;"A+";8,04
"PLTAUD475000010462";2019-01-01 04:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 04:00:00;0;"Ri+";2,04
"PLTAUD475000010462";2019-01-01 04:15:00;0;"A+";8,28
"PLTAUD475000010462";2019-01-01 04:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 04:15:00;0;"Ri+";2,16
"PLTAUD475000010462";2019-01-01 04:30:00;0;"A+";8,28
"PLTAUD475000010462";2019-01-01 04:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 04:30:00;0;"Ri+";1,92
"PLTAUD475000010462";2019-01-01 04:45:00;0;"A+";8,52
"PLTAUD475000010462";2019-01-01 04:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 04:45:00;0;"Ri+";1,92
"PLTAUD475000010462";2019-01-01 05:00:00;0;"A+";8,88
"PLTAUD475000010462";2019-01-01 05:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 05:00:00;0;"Ri+";1,44
"PLTAUD475000010462";2019-01-01 05:15:00;0;"A+";8,28
"PLTAUD475000010462";2019-01-01 05:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-01-01 05:15:00;0;"Ri+";1,56
"PLTAUD475000010462";2019-01-01 05:30:00;0;"A+";8,28
