"PPE_NO";"GODZ";"FLAGA_EXTR";"ENERGIA";"WARTOSC"
"PLTAUD475000010462";2019-03-01 06:30:00;0;"Ri+";4,08
"PLTAUD475000010462";2019-03-01 06:45:00;0;"A+";14,64
"PLTAUD475000010462";2019-03-01 06:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 06:45:00;0;"Ri+";4,2
"PLTAUD475000010462";2019-03-01 07:00:00;0;"A+";13,92
"PLTAUD475000010462";2019-03-01 07:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 07:00:00;0;"Ri+";4,2
"PLTAUD475000010462";2019-03-01 07:15:00;0;"A+";17,04
"PLTAUD475000010462";2019-03-01 07:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 07:15:00;0;"Ri+";4,32
"PLTAUD475000010462";2019-03-01 07:30:00;0;"A+";17,52
"PLTAUD475000010462";2019-03-01 07:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 07:30:00;0;"Ri+";4,56
"PLTAUD475000010462";2019-03-01 07:45:00;0;"A+";18
"PLTAUD475000010462";2019-03-01 07:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 07:45:00;0;"Ri+";4,08
"PLTAUD475000010462";2019-03-01 08:00:00;0;"A+";16,56
"PLTAUD475000010462";2019-03-01 08:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 08:00:00;0;"Ri+";4,44
"PLTAUD475000010462";2019-03-01 08:15:00;0;"A+";16,56
"PLTAUD475000010462";2019-03-01 08:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 08:15:00;0;"Ri+";4,68
"PLTAUD475000010462";2019-03-01 08:30:00;0;"A+";17,04
"PLTAUD475000010462";2019-03-01 08:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 08:30:00;0;"Ri+";4,08
"PLTAUD475000010462";2019-03-01 08:45:00;0;"A+";17,04
"PLTAUD475000010462";2019-03-01 08:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 08:45:00;0;"Ri+";4,08
"PLTAUD475000010462";2019-03-01 09:00:00;0;"A+";16,44
"PLTAUD475000010462";2019-03-01 09:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 09:00:00;0;"Ri+";4,44
"PLTAUD475000010462";2019-03-01 09:15:00;0;"A+";18,6
"PLTAUD475000010462";2019-03-01 09:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 09:15:00;0;"Ri+";5,28
"PLTAUD475000010462";2019-03-01 09:30:00;0;"A+";18,6
"PLTAUD475000010462";2019-03-01 09:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 09:30:00;0;"Ri+";5,76
"PLTAUD475000010462";2019-03-01 09:45:00;0;"A+";20,4
"PLTAUD475000010462";2019-03-01 09:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 09:45:00;0;"Ri+";6,48
"PLTAUD475000010462";2019-03-01 10:00:00;0;"A+";19,44
"PLTAUD475000010462";2019-03-01 10:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 10:00:00;0;"Ri+";5,4
"PLTAUD475000010462";2019-03-01 10:15:00;0;"A+";19,56
"PLTAUD475000010462";2019-03-01 10:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 10:15:00;0;"Ri+";5,64
"PLTAUD475000010462";2019-03-01 10:30:00;0;"A+";19,44
"PLTAUD475000010462";2019-03-01 10:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 10:30:00;0;"Ri+";5,04
"PLTAUD475000010462";2019-03-01 10:45:00;0;"A+";18,96
"PLTAUD475000010462";2019-03-01 10:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 10:45:00;0;"Ri+";5,16
"PLTAUD475000010462";2019-03-01 11:00:00;0;"A+";20,52
"PLTAUD475000010462";2019-03-01 11:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 11:00:00;0;"Ri+";5,76
"PLTAUD475000010462";2019-03-01 11:15:00;0;"A+";18,96
"PLTAUD475000010462";2019-03-01 11:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 11:15:00;0;"Ri+";6
"PLTAUD475000010462";2019-03-01 11:30:00;0;"A+";21
"PLTAUD475000010462";2019-03-01 11:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 11:30:00;0;"Ri+";6
"PLTAUD475000010462";2019-03-01 11:45:00;0;"A+";19,2
"PLTAUD475000010462";2019-03-01 11:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 11:45:00;0;"Ri+";5,16
"PLTAUD475000010462";2019-03-01 12:00:00;0;"A+";19,92
"PLTAUD475000010462";2019-03-01 12:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 12:00:00;0;"Ri+";5,4
"PLTAUD475000010462";2019-03-01 12:15:00;0;"A+";21
"PLTAUD475000010462";2019-03-01 12:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 12:15:00;0;"Ri+";5,28
"PLTAUD475000010462";2019-03-01 12:30:00;0;"A+";19,32
"PLTAUD475000010462";2019-03-01 12:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 12:30:00;0;"Ri+";5,64
"PLTAUD475000010462";2019-03-01 12:45:00;0;"A+";19,68
"PLTAUD475000010462";2019-03-01 12:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 12:45:00;0;"Ri+";4,8
"PLTAUD475000010462";2019-03-01 13:00:00;0;"A+";18,84
"PLTAUD475000010462";2019-03-01 13:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 13:00:00;0;"Ri+";4,32
"PLTAUD475000010462";2019-03-01 13:15:00;0;"A+";20,64
"PLTAUD475000010462";2019-03-01 13:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 13:15:00;0;"Ri+";5,16
"PLTAUD475000010462";2019-03-01 13:30:00;0;"A+";19,8
"PLTAUD475000010462";2019-03-01 13:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 13:30:00;0;"Ri+";4,92
"PLTAUD475000010462";2019-03-01 13:45:00;0;"A+";21,84
"PLTAUD475000010462";2019-03-01 13:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 13:45:00;0;"Ri+";5,64
"PLTAUD475000010462";2019-03-01 14:00:00;0;"A+";20,52
"PLTAUD475000010462";2019-03-01 14:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 14:00:00;0;"Ri+";5,04
"PLTAUD475000010462";2019-03-01 14:15:00;0;"A+";20,76
"PLTAUD475000010462";2019-03-01 14:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 14:15:00;0;"Ri+";5,16
"PLTAUD475000010462";2019-03-01 14:30:00;0;"A+";20,52
"PLTAUD475000010462";2019-03-01 14:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 14:30:00;0;"Ri+";5,16
"PLTAUD475000010462";2019-03-01 14:45:00;0;"A+";20,04
"PLTAUD475000010462";2019-03-01 14:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 14:45:00;0;"Ri+";5,4
"PLTAUD475000010462";2019-03-01 15:00:00;0;"A+";21,72
"PLTAUD475000010462";2019-03-01 15:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 15:00:00;0;"Ri+";4,92
"PLTAUD475000010462";2019-03-01 15:15:00;0;"A+";19,08
"PLTAUD475000010462";2019-03-01 15:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 15:15:00;0;"Ri+";4,44
"PLTAUD475000010462";2019-03-01 15:30:00;0;"A+";19,68
"PLTAUD475000010462";2019-03-01 15:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 15:30:00;0;"Ri+";4,92
"PLTAUD475000010462";2019-03-01 15:45:00;0;"A+";20,16
"PLTAUD475000010462";2019-03-01 15:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 15:45:00;0;"Ri+";5,04
"PLTAUD475000010462";2019-03-01 16:00:00;0;"A+";20,76
"PLTAUD475000010462";2019-03-01 16:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 16:00:00;0;"Ri+";5,04
"PLTAUD475000010462";2019-03-01 16:15:00;0;"A+";21,96
"PLTAUD475000010462";2019-03-01 16:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 16:15:00;0;"Ri+";5,28
"PLTAUD475000010462";2019-03-01 16:30:00;0;"A+";18,96
"PLTAUD475000010462";2019-03-01 16:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 16:30:00;0;"Ri+";4,8
"PLTAUD475000010462";2019-03-01 16:45:00;0;"A+";20,4
"PLTAUD475000010462";2019-03-01 16:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 16:45:00;0;"Ri+";5,04
"PLTAUD475000010462";2019-03-01 17:00:00;0;"A+";19,8
"PLTAUD475000010462";2019-03-01 17:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 17:00:00;0;"Ri+";4,8
"PLTAUD475000010462";2019-03-01 17:15:00;0;"A+";19,56
"PLTAUD475000010462";2019-03-01 17:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 17:15:00;0;"Ri+";3,24
"PLTAUD475000010462";2019-03-01 17:30:00;0;"A+";18,84
"PLTAUD475000010462";2019-03-01 17:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 17:30:00;0;"Ri+";3,6
"PLTAUD475000010462";2019-03-01 17:45:00;0;"A+";20,52
"PLTAUD475000010462";2019-03-01 17:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 17:45:00;0;"Ri+";4,08
"PLTAUD475000010462";2019-03-01 18:00:00;0;"A+";20,64
"PLTAUD475000010462";2019-03-01 18:00:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 18:00:00;0;"Ri+";3,72
"PLTAUD475000010462";2019-03-01 18:15:00;0;"A+";21,12
"PLTAUD475000010462";2019-03-01 18:15:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 18:15:00;0;"Ri+";3,48
"PLTAUD475000010462";2019-03-01 18:30:00;0;"A+";20,16
"PLTAUD475000010462";2019-03-01 18:30:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 18:30:00;0;"Ri+";2,88
"PLTAUD475000010462";2019-03-01 18:45:00;0;"A+";21,36
"PLTAUD475000010462";2019-03-01 18:45:00;0;"Rc-";0
"PLTAUD475000010462";2019-03-01 18:45:00;0;"Ri+";2,88
"PLTAUD475000010462";2019-03-01 19:00:00;0;"A+";22,32
"PLTAUD475000010462";2019-03-01 19:00:00;0;"Rc-";0
