ObjectsNames,ObjectsID,IdentifiedObject.name,DiscreteValue.Discrete,MeasurementValue.MeasurementValueSource,IdentifiedObject.aliasName,Switch.normalOpen,Equipment.EquipmentContainer,Measurement.measurementType,Measurement.PowerSystemResource,Terminal.sequenceNumber,Terminal.ConductingEquipment,Terminal.ConnectivityNode,ConnectivityNode.ConnectivityNodeContainer,AuxiliaryEquipment.Terminal,PowerSystemResource.AssetDatasheet,ConductingEquipment.BaseVoltage,Terminal.phases,VoltageLevel.BaseVoltage,VoltageLevel.Substation
Terminal,_de3598df0fc343ac835d75a74290389d,T2,NA,NA,NA,NA,NA,NA,NA,2,#_454afcb4f2514e1592472185358b4b97,#_9ccaff0155b34bc39e6ae23912c75eae,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_9ccaff0155b34bc39e6ae23912c75eae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_b92555c86a7a4c0ba5214955dea4dbb6,NA,NA,NA,NA,NA,NA
LoadBreakSwitch,_f81699c2e0cf4e72b4e3b3959147dae3,Rozłącznik,NA,NA,Rozłącznik,false,#_6e0ae3c9077b4025af25dad9bf6b8fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_b1749422d9934c68a60c7cc0362f58e7,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_f81699c2e0cf4e72b4e3b3959147dae3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_a622c73f55a0464f974a8776d5461b3f,T1,NA,NA,NA,NA,NA,NA,NA,1,#_f81699c2e0cf4e72b4e3b3959147dae3,#_5b2b4eaf6cad454e9440e4d68c65e2ea,NA,NA,NA,NA,NA,NA,NA
Fuse,_26c0ab5434c74d10861a0eb07270da2f,Bezpiecznik,NA,NA,Bezpiecznik,false,#_6e0ae3c9077b4025af25dad9bf6b8fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_36d55fca714944b4a8310501f5f9ad65,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_26c0ab5434c74d10861a0eb07270da2f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_39a3849c712c4bdba19af6eb176b5040,T1,NA,NA,NA,NA,NA,NA,NA,1,#_26c0ab5434c74d10861a0eb07270da2f,#_9f418da0ffb449e08a7fe5f70f8c0fc9,NA,NA,NA,NA,NA,NA,NA
Terminal,_d4298dbf41644f2bbe7753b3008fab12,T2,NA,NA,NA,NA,NA,NA,NA,2,#_f81699c2e0cf4e72b4e3b3959147dae3,#_9f418da0ffb449e08a7fe5f70f8c0fc9,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_9f418da0ffb449e08a7fe5f70f8c0fc9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_b92555c86a7a4c0ba5214955dea4dbb6,NA,NA,NA,NA,NA,NA
GroundDisconnector,_3320100fed734b7a9f5d5e3b5dc50438,Uziemnik,NA,NA,Uziemnik,false,#_6e0ae3c9077b4025af25dad9bf6b8fef,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_da51637b55f145429493a8b8d2c88cf3,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_3320100fed734b7a9f5d5e3b5dc50438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_c9a1ed85ea04442babbdeac9c0c2fb3f,T1,NA,NA,NA,NA,NA,NA,NA,1,#_3320100fed734b7a9f5d5e3b5dc50438,#_987b6c36b35b4262a6237a7c1bdd31a9,NA,NA,NA,NA,NA,NA,NA
Terminal,_fbc8cbe4a815415eab136fe2cd5d89ec,T2,NA,NA,NA,NA,NA,NA,NA,2,#_26c0ab5434c74d10861a0eb07270da2f,#_987b6c36b35b4262a6237a7c1bdd31a9,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_987b6c36b35b4262a6237a7c1bdd31a9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_b92555c86a7a4c0ba5214955dea4dbb6,NA,NA,NA,NA,NA,NA
