ObjectsNames,ObjectsID,IdentifiedObject.name,DiscreteValue.Discrete,MeasurementValue.MeasurementValueSource,IdentifiedObject.aliasName,Switch.normalOpen,Equipment.EquipmentContainer,Measurement.measurementType,Measurement.PowerSystemResource,Terminal.sequenceNumber,Terminal.ConductingEquipment,Terminal.ConnectivityNode,ConnectivityNode.ConnectivityNodeContainer,AuxiliaryEquipment.Terminal,PowerSystemResource.AssetDatasheet,ConductingEquipment.BaseVoltage,Terminal.phases,VoltageLevel.BaseVoltage,VoltageLevel.Substation
CurrentTransformer,_612fc69b4ba44ce8a0df3cfd678d964c,PPR,NA,NA,NA,NA,#_ce888e42f8104ec786fd818ef28d28f7,NA,NA,NA,NA,NA,NA,#_9278b571bd8f4d1c93ef3bb9fee1d2f9,#_da2845b6497945db80cd8c63b0649f95,NA,NA,NA,NA
CurrentTransformer,_626efe20493c4c228a727716b5e1f41b,PPR,NA,NA,NA,NA,#_90dfb68edbae4b128627f04106532e1d,NA,NA,NA,NA,NA,NA,#_8cb76e6275884171be8f9e0d9605d991,#_5f5e7d2a397e428097a388c49bd3ea6d,NA,NA,NA,NA
CurrentTransformer,_846f488951c6496f8ec7b29071abdd6f,PPR,NA,NA,NA,NA,#_1c173e60c3024f289812437d1c6e43d7,NA,NA,NA,NA,NA,NA,#_37529dbdde42468c9046df7e12ff2438,#_5f5e7d2a397e428097a388c49bd3ea6d,NA,NA,NA,NA
PotentialTransformer,_054b926326f24cd89aab01df08afe872,VT1,NA,NA,NA,NA,#_b98ed2e5e3244a65bd25cb89328cdc81,NA,NA,NA,NA,NA,NA,#_105e34b99fc04b10b542fcaae005f474,NA,NA,NA,NA,NA
PotentialTransformer,_bb9f686ff8df426a987cd201a3a87646,VT1,NA,NA,NA,NA,#_57510d6daf9b46e5a312ffb0f21162e7,NA,NA,NA,NA,NA,NA,#_fab42a3772dc408d9cf78a5a012806c3,NA,NA,NA,NA,NA
PotentialTransformer,_ad0516517f0746cc983a552c89e7e909,VT1,NA,NA,NA,NA,#_f6e45bb0ce664672a4fbd7db114c0747,NA,NA,NA,NA,NA,NA,#_78f8cb610c134b5cbb9bc25f1934639f,NA,NA,NA,NA,NA
PotentialTransformer,_5ffdea5b947947ac8fc6a050beeeca79,VT1,NA,NA,NA,NA,#_94463a2cd5d14087b446f819ffdefae9,NA,NA,NA,NA,NA,NA,#_9eb467c225044509a43b9e926ba37fc6,NA,NA,NA,NA,NA
PotentialTransformer,_553801f43d6c4d02a07428b175aa8db6,VT1,NA,NA,NA,NA,#_7c4299ef45f9479c8d793622838ac84c,NA,NA,NA,NA,NA,NA,#_e6af0cfd93034e78a91a2be697504898,NA,NA,NA,NA,NA
Jumper,_7ab4d072e8634d33984a4b47b78e3cf9,Jumper,NA,NA,NA,NA,#_7c4299ef45f9479c8d793622838ac84c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_3946d39de0dd4baea8bbcd3a58d1680e,T1,NA,NA,NA,NA,NA,NA,NA,1,#_7ab4d072e8634d33984a4b47b78e3cf9,#_8bd7a48d64c4407da59d5d5eca8f297f,NA,NA,NA,NA,NA,NA,NA
Terminal,_e6af0cfd93034e78a91a2be697504898,T2,NA,NA,NA,NA,NA,NA,NA,2,#_7ab4d072e8634d33984a4b47b78e3cf9,NA,NA,NA,NA,NA,NA,NA,NA
PotentialTransformer,_2cb1cee021294c56a10d73a708b35b18,VT1,NA,NA,NA,NA,#_9f85fce499404efbaf2aa41ce354c870,NA,NA,NA,NA,NA,NA,#_66b4b71c79a54cc8a5bf3c717babff05,NA,NA,NA,NA,NA
PotentialTransformer,_4f76b5dd8ace48309aff1f677a5631b8,VT1,NA,NA,NA,NA,#_a0b2f77297f84829a4d44c12f00fd763,NA,NA,NA,NA,NA,NA,#_e4df020a72e74e01a5d02f3d28fad34d,NA,NA,NA,NA,NA
PotentialTransformer,_5ab6786d235e4542bbd0987bdb1e57e6,VT1,NA,NA,NA,NA,#_732440370e6a4ebca750ff647e439302,NA,NA,NA,NA,NA,NA,#_6209a7943f314ac1bdb9bb8b931035de,NA,NA,NA,NA,NA
Fuse,_54038eb5078f4158a94673da9ec5cfaf,Bezpiecznik 1,NA,NA,Bezpiecznik,false,#_220fce5ce8244d8f987280b55b43050c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_559cffbe76234f1faf5783e66cf935d5,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_54038eb5078f4158a94673da9ec5cfaf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_ffeac5c1fea74177bb157e7a35bca15b,Bezpiecznik 2,NA,NA,Bezpiecznik,false,#_220fce5ce8244d8f987280b55b43050c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_273293ae70d04febb7a4267f8ebd1afd,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_ffeac5c1fea74177bb157e7a35bca15b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_0877d7f0eb17489abc7d8835838c07c6,T1,NA,NA,NA,NA,NA,NA,NA,1,#_ffeac5c1fea74177bb157e7a35bca15b,#_4b6a0fbbcd234a7abc8c214f733c3a39,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_4b6a0fbbcd234a7abc8c214f733c3a39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_6ba301f569ab4a07b844d978da85e155,NA,NA,NA,NA,NA,NA
Terminal,_370df5d12b0b430e950783a1ee2e163c,T1,NA,NA,NA,NA,NA,NA,NA,1,#_54038eb5078f4158a94673da9ec5cfaf,#_b6bb17af846d48029dfd6350d411b2ee,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_b6bb17af846d48029dfd6350d411b2ee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_6ba301f569ab4a07b844d978da85e155,NA,NA,NA,NA,NA,NA
Terminal,_31278e6b607b4e76a18d0ed5da4727e6,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_54038eb5078f4158a94673da9ec5cfaf,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_621e85b725104fdcbb699e5867ce8d78,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_ffeac5c1fea74177bb157e7a35bca15b,NA,NA,NA,NA,NA,NA,NA,NA
Disconnector,_39179dcc6ff64fe7b87df2d517cbd186,Bezpiecznik,NA,NA,Bezpiecznik,false,#_6b23c63fffe04f70a0c15b0ba252beb3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_4bbbc4c0bcb14427ba282079f277646c,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_39179dcc6ff64fe7b87df2d517cbd186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_9a12a9cbced044729d41d4586b2573bc,T1,NA,NA,NA,NA,NA,NA,NA,1,#_39179dcc6ff64fe7b87df2d517cbd186,#_13195af55d4946fa82ef873b50be21b2,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_13195af55d4946fa82ef873b50be21b2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_c8bf7a8451474ea397ff882237ce184e,NA,NA,NA,NA,NA,NA
Terminal,_ba39ccb080374f1583ad48a5094bbd88,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_39179dcc6ff64fe7b87df2d517cbd186,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_9bffa859550a4337a87610365e8ce65f,Bezpiecznik,NA,NA,Bezpiecznik,false,#_9a82a54bc71a4b7e8c2f6ba8410493e3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_37589cc82dce4cc69b9e179231e2b4f9,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_9bffa859550a4337a87610365e8ce65f,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_c5382f59e960421c9b5e22ec1d26db6e,T1,NA,NA,NA,NA,NA,NA,NA,1,#_9bffa859550a4337a87610365e8ce65f,#_77b1244dfe2c40858ebea0bea3d8a757,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_77b1244dfe2c40858ebea0bea3d8a757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_787e9cc36bd44abfaccf1b114ee02923,NA,NA,NA,NA,NA,NA
Terminal,_da6b2afa94364ba69e49c4375f185444,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_9bffa859550a4337a87610365e8ce65f,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_f7ab1f5ddbf047d69e997ea5dfda73cd,Bezpiecznik,NA,NA,Bezpiecznik,false,#_5da824e58aa04c51b51b0d50901b475a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_917a895466e446d98050a8e4e736580f,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_f7ab1f5ddbf047d69e997ea5dfda73cd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_5f2f46741b4241b2995b92d488fa1a2b,T1,NA,NA,NA,NA,NA,NA,NA,1,#_f7ab1f5ddbf047d69e997ea5dfda73cd,#_fd767952988f40af9f9359fb964278f2,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_fd767952988f40af9f9359fb964278f2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_c442a781a190470e91515b5f9215ffb1,NA,NA,NA,NA,NA,NA
Terminal,_5f2c881cae814fcc8b0efd936afde598,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_f7ab1f5ddbf047d69e997ea5dfda73cd,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_2a3a67ae4aee49998fe864cf06fd2318,Bezpiecznik,NA,NA,Bezpiecznik,false,#_2c32bfd40d584eae8ac794114b7d9b45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_8745c8bf26f246d4b0dc4fbc14c1e65b,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_2a3a67ae4aee49998fe864cf06fd2318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_11c9443ce5a74ebc823498688e78abb3,T1,NA,NA,NA,NA,NA,NA,NA,1,#_2a3a67ae4aee49998fe864cf06fd2318,#_0fd811db84c344eca8d6cad834f86407,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_0fd811db84c344eca8d6cad834f86407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_6ba301f569ab4a07b844d978da85e155,NA,NA,NA,NA,NA,NA
Terminal,_0407331b0425467da0a907f90a892202,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_2a3a67ae4aee49998fe864cf06fd2318,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_a96eb848b4b14ee6a7a187c96c18ff44,Bezpiecznik,NA,NA,Bezpiecznik,false,#_ee0d6b44cda443928c791428969ca987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_91cbec4a4da944e3878f64b179474f3d,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_a96eb848b4b14ee6a7a187c96c18ff44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_c9a1262688484f6cbe5897f29b292fd3,T1,NA,NA,NA,NA,NA,NA,NA,1,#_a96eb848b4b14ee6a7a187c96c18ff44,#_7cfbfaf38f5a4fbfa1810a4529b8126a,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_7cfbfaf38f5a4fbfa1810a4529b8126a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_c2d7d321008b4f0da947d5175d593908,NA,NA,NA,NA,NA,NA
Terminal,_3eb461cc02c344fc9ba8d8b4d8e60d86,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_a96eb848b4b14ee6a7a187c96c18ff44,NA,NA,NA,NA,NA,NA,NA,NA
Fuse,_1be6f69acefc4da98c917c1efbd94dc8,Bezpiecznik,NA,NA,Bezpiecznik,false,#_43f7836c72d5468cb7e24744beaccbb8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_2ca0381830b64b88b6df4baeb73edab6,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_1be6f69acefc4da98c917c1efbd94dc8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_6d4d297e2bdd4980959d5cfa47f07a40,T1,NA,NA,NA,NA,NA,NA,NA,1,#_1be6f69acefc4da98c917c1efbd94dc8,#_fab01aeeec064b739828bea15472ba15,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_fab01aeeec064b739828bea15472ba15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_787e9cc36bd44abfaccf1b114ee02923,NA,NA,NA,NA,NA,NA
Terminal,_71f9d98f7459456193db9cc265168707,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_1be6f69acefc4da98c917c1efbd94dc8,NA,NA,NA,NA,NA,NA,NA,NA
PotentialTransformer,_58552f533f794c34840e689ddec4260e,VT1,NA,NA,NA,NA,#_86e88276e68a490984d4e85e292cac08,NA,NA,NA,NA,NA,NA,#_ae9e9434c9e747d49087e1709fca5526,NA,NA,NA,NA,NA
Fuse,_78dc2ac1d3e74e178468bf9b0d55569d,Bezpiecznik,NA,NA,Bezpiecznik,false,#_25461af5a1be4e7aa6b52f5352c26b42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_bc936cb168d24674b17f71a5ccd46ca0,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_617f776bf8ef4fd0b571568f9c234141,#_4ba017ec95c4480ab3ac7f950f10c39c,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_4ba017ec95c4480ab3ac7f950f10c39c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_787e9cc36bd44abfaccf1b114ee02923,NA,NA,NA,NA,NA,NA
Disconnector,_279fd34b513448f38e07b10adcf01ed6,Odłącznik rezystora/dławika,NA,NA,Odłącznik,false,#_38168e4efa5843e2a368911790cca57a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_2457c40848044abd946f887c3ec79d8b,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_279fd34b513448f38e07b10adcf01ed6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_13d2b37dd4ff4aeaa61759b5d68a9746,T1,NA,NA,NA,NA,NA,NA,NA,1,#_279fd34b513448f38e07b10adcf01ed6,#_4ba017ec95c4480ab3ac7f950f10c39c,NA,NA,NA,NA,http://iec.ch/TC57/2012/CIM-schema-cim16#PhaseCode.N,NA,NA
SeriesCompensator,_21d999636a37471cabb48c7fa9066152,Dławik 1,NA,NA,NA,NA,#_38168e4efa5843e2a368911790cca57a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_a2090653953c4e008cbdca3eee8b1f16,T1,NA,NA,NA,NA,NA,NA,NA,NA,#_21d999636a37471cabb48c7fa9066152,#_fef42ef19cb24c60b753d29c5d5282d8,NA,NA,NA,NA,NA,NA,NA
Terminal,_1aad2d69b9f94d95bbf56f283810fc20,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_21d999636a37471cabb48c7fa9066152,#_a6b93a1faaf84a65afdb5176643fcc71,NA,NA,NA,NA,NA,NA,NA
Terminal,_7d1e17dc3fa04921ae3214d179f94e58,T2,NA,NA,NA,NA,NA,NA,NA,2,#_279fd34b513448f38e07b10adcf01ed6,#_fef42ef19cb24c60b753d29c5d5282d8,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_fef42ef19cb24c60b753d29c5d5282d8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_787e9cc36bd44abfaccf1b114ee02923,NA,NA,NA,NA,NA,NA
Ground,_66fe7a4e2c1d4d7cb1ec77df1661726b,Uziom D1,NA,NA,NA,NA,#_38168e4efa5843e2a368911790cca57a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_c73478f85185452da19387b3a3c6fec5,T1,NA,NA,NA,NA,NA,NA,NA,NA,#_66fe7a4e2c1d4d7cb1ec77df1661726b,#_a6b93a1faaf84a65afdb5176643fcc71,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_a6b93a1faaf84a65afdb5176643fcc71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_787e9cc36bd44abfaccf1b114ee02923,NA,NA,NA,NA,NA,NA
ACLineSegment,_2ac8aa8a9ec84ab8a0eb56e49bd49f7c,Most kablowy,NA,NA,NA,NA,#_b2f99ea9c81e4d0e8389eedeb7815cd3,NA,NA,NA,NA,NA,NA,NA,NA,#_b4c0271be32d4f6e992aaa6e4888aaf0,NA,NA,NA
Terminal,_c3a0cb4f3969496c916564b06269d1d1,T1,NA,NA,NA,NA,NA,NA,NA,NA,#_2ac8aa8a9ec84ab8a0eb56e49bd49f7c,#_48afcd0233c244bfa3926c15ef55e0c4,NA,NA,NA,NA,NA,NA,NA
Terminal,_f59018c955c745e09c9e1200038ba843,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_2ac8aa8a9ec84ab8a0eb56e49bd49f7c,#_97f6c05078404d7c8cb322bef983e5c1,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_97f6c05078404d7c8cb322bef983e5c1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_787e9cc36bd44abfaccf1b114ee02923,NA,NA,NA,NA,NA,NA
Disconnector,_4001efe2b6b04e7090bb524fd3ee89a3,Odłącznik rezystora/dławika,NA,NA,Odłącznik,false,#_b2f99ea9c81e4d0e8389eedeb7815cd3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Discrete,_c18891727d9c41799cf87250ce10a75e,Pos,NA,NA,NA,NA,NA,SwitchPosition,#_4001efe2b6b04e7090bb524fd3ee89a3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_3c13ccac72dc4743a8ca26f83788d991,T1,NA,NA,NA,NA,NA,NA,NA,1,#_4001efe2b6b04e7090bb524fd3ee89a3,#_97f6c05078404d7c8cb322bef983e5c1,NA,NA,NA,NA,http://iec.ch/TC57/2012/CIM-schema-cim16#PhaseCode.N,NA,NA
SeriesCompensator,_1e980dd2020c45ed9e31ee8bfb83000b,Dławik 1,NA,NA,NA,NA,#_b2f99ea9c81e4d0e8389eedeb7815cd3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_fa56d22ce8e6438382b4a405203f2b0d,T1,NA,NA,NA,NA,NA,NA,NA,NA,#_1e980dd2020c45ed9e31ee8bfb83000b,#_1be356e2999d4bf984271822952734c1,NA,NA,NA,NA,NA,NA,NA
Terminal,_3543199a30d3468baa2a2190073d370b,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_1e980dd2020c45ed9e31ee8bfb83000b,#_c70b69e625014e9eac27aba4f9376195,NA,NA,NA,NA,NA,NA,NA
Ground,_8545928d719a4434b9c748310c0f148a,Uziom D1,NA,NA,NA,NA,#_b2f99ea9c81e4d0e8389eedeb7815cd3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminal,_054798330fbe4faa96c02913484e23de,T1,NA,NA,NA,NA,NA,NA,NA,NA,#_8545928d719a4434b9c748310c0f148a,#_c70b69e625014e9eac27aba4f9376195,NA,NA,NA,NA,NA,NA,NA
Terminal,_75fd8ced692e4163927e329d3975a94a,T2,NA,NA,NA,NA,NA,NA,NA,2,#_4001efe2b6b04e7090bb524fd3ee89a3,#_1be356e2999d4bf984271822952734c1,NA,NA,NA,NA,NA,NA,NA
ConnectivityNode,_1be356e2999d4bf984271822952734c1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_787e9cc36bd44abfaccf1b114ee02923,NA,NA,NA,NA,NA,NA
ConnectivityNode,_c70b69e625014e9eac27aba4f9376195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#_787e9cc36bd44abfaccf1b114ee02923,NA,NA,NA,NA,NA,NA
ACLineSegment,_14f670c6cd25430bbc7a8bc3b9797d6c,Most kablowy,NA,NA,NA,NA,#_82134d063eea4dd9ae25843eb3a85b19,NA,NA,NA,NA,NA,NA,NA,NA,#_b4c0271be32d4f6e992aaa6e4888aaf0,NA,NA,NA
Terminal,_d7cb8561490a4217ae6ab0177d662e53,T1,NA,NA,NA,NA,NA,NA,NA,NA,#_14f670c6cd25430bbc7a8bc3b9797d6c,#_9180763c077b4e3fb62a718b16dca3bd,NA,NA,NA,NA,NA,NA,NA
Terminal,_fdf26b38c8b547deb31fb4dca8d3084b,T2,NA,NA,NA,NA,NA,NA,NA,NA,#_14f670c6cd25430bbc7a8bc3b9797d6c,#_938398cc862f41e083de155f166d5e49,NA,NA,NA,NA,NA,NA,NA
