"C","lr","maxiter","Czulosc_TRAIN","Specyficznosc_TRAIN","Jakosc_TRAIN","Czulosc_TEST","Specyficznosc_TEST","Jakosc_TEST"
72,0.01,500,0.693226773226773,0.693226773226773,0.59375,0.587212787212787,0.587212787212787,0.6125
73,0.01,500,0.740612002376708,0.740612002376708,0.6,0.767948717948718,0.767948717948718,0.625
74,0.01,500,0.599188250396436,0.599188250396436,0.56875,0.548333333333333,0.548333333333333,0.6125
75,0.01,500,0.531006171006171,0.531006171006171,0.621875,0.316652236652237,0.316652236652237,0.5
76,0.01,500,0.688719103719104,0.688719103719104,0.596875,0.58,0.58,0.5
77,0.01,500,0.939598771704035,0.939598771704035,0.609375,0.915,0.915,0.5625
78,0.01,500,0.584065934065934,0.584065934065934,0.575,0.627012987012987,0.627012987012987,0.55
79,0.01,500,0.793129393129393,0.793129393129393,0.61875,0.782972582972583,0.782972582972583,0.6
80,0.01,500,0.558843518441042,0.558843518441042,0.596875,0.591666666666667,0.591666666666667,0.5875
81,0.01,500,0.542073652599968,0.542073652599968,0.58125,0.551666666666667,0.551666666666667,0.5
82,0.01,500,0.451342730290099,0.451342730290099,0.56875,0.433589743589744,0.433589743589744,0.5
83,0.01,500,0.617433635726319,0.617433635726319,0.615625,0.507070707070707,0.507070707070707,0.525
84,0.01,500,0.668930336362187,0.668930336362187,0.6,0.671818181818182,0.671818181818182,0.6
85,0.01,500,0.973099415204678,0.973099415204678,0.584375,0.96,0.96,0.6125
86,0.01,500,0.716516516516516,0.716516516516516,0.634375,0.602222222222222,0.602222222222222,0.4375
87,0.01,500,0.826726726726727,0.826726726726727,0.546875,0.888888888888889,0.888888888888889,0.625
88,0.01,500,0.540951477793583,0.540951477793583,0.625,0.496111111111111,0.496111111111111,0.5125
89,0.01,500,0.848805120910384,0.848805120910384,0.6375,0.883333333333333,0.883333333333333,0.55
90,0.01,500,0.573469723593563,0.573469723593563,0.5875,0.529545454545455,0.529545454545455,0.5125
91,0.01,500,0.609891395154553,0.609891395154553,0.6125,0.504545454545455,0.504545454545455,0.5
92,0.01,500,0.604291497975708,0.604291497975708,0.553125,0.503571428571429,0.503571428571429,0.6
93,0.01,500,0.910658710658711,0.910658710658711,0.615625,0.906604506604507,0.906604506604507,0.55
94,0.01,500,0.358711738711739,0.358711738711739,0.596875,0.331091131091131,0.331091131091131,0.525
95,0.01,500,0.60956340956341,0.60956340956341,0.56875,0.631746031746032,0.631746031746032,0.6125
96,0.01,500,0.382478632478632,0.382478632478632,0.54375,0.482857142857143,0.482857142857143,0.5625
97,0.01,500,0.672956716114611,0.672956716114611,0.590625,0.605555555555556,0.605555555555556,0.5375
98,0.01,500,0.527026787955581,0.527026787955581,0.61875,0.462878787878788,0.462878787878788,0.625
99,0.01,500,0.8,0.8,0.5625,0.8,0.8,0.475
100,0.01,500,0.419157916804976,0.419157916804976,0.553125,0.491053391053391,0.491053391053391,0.6125
101,0.01,500,0.476470588235294,0.476470588235294,0.521875,0.444444444444444,0.444444444444444,0.4875
102,0.01,500,0.777107780048957,0.777107780048957,0.584375,0.768484848484848,0.768484848484848,0.6
103,0.01,500,0.526929871047518,0.526929871047518,0.5625,0.518888888888889,0.518888888888889,0.4625
104,0.01,500,0.523988189870543,0.523988189870543,0.58125,0.495959595959596,0.495959595959596,0.5
105,0.01,500,0.716348251085093,0.716348251085093,0.6125,0.765873015873016,0.765873015873016,0.6375
106,0.01,500,0.536671966083731,0.536671966083731,0.609375,0.355555555555556,0.355555555555556,0.5
107,0.01,500,0.367648076633956,0.367648076633956,0.50625,0.315793650793651,0.315793650793651,0.5875
108,0.01,500,0.720816768185189,0.720816768185189,0.596875,0.673095238095238,0.673095238095238,0.55
109,0.01,500,0.733972769762243,0.733972769762243,0.6125,0.717929292929293,0.717929292929293,0.5875
110,0.01,500,0.542942942942943,0.542942942942943,0.546875,0.522222222222222,0.522222222222222,0.55
111,0.01,500,0.830056062254205,0.830056062254205,0.615625,0.677777777777778,0.677777777777778,0.5
112,0.01,500,0.734996534996535,0.734996534996535,0.5875,0.780952380952381,0.780952380952381,0.575
113,0.01,500,0.510811140811141,0.510811140811141,0.55,0.570707070707071,0.570707070707071,0.65
114,0.01,500,0.71876965140123,0.71876965140123,0.596875,0.697377622377622,0.697377622377622,0.5625
115,0.01,500,0.614737814737815,0.614737814737815,0.5875,0.483809523809524,0.483809523809524,0.525
116,0.01,500,0.342914979757085,0.342914979757085,0.578125,0.485714285714286,0.485714285714286,0.6375
117,0.01,500,0.414580369843528,0.414580369843528,0.53125,0.359444444444444,0.359444444444444,0.5625
118,0.01,500,0.848648648648649,0.848648648648649,0.60625,0.777777777777778,0.777777777777778,0.4875
119,0.01,500,0.598260073260073,0.598260073260073,0.63125,0.636709956709957,0.636709956709957,0.55
120,0.01,500,0.994444444444444,0.994444444444444,0.590625,0.955,0.955,0.525
121,0.01,500,0.782352941176471,0.782352941176471,0.534375,0.8,0.8,0.6
122,0.01,500,0.68842940685046,0.68842940685046,0.59375,0.647727272727273,0.647727272727273,0.5625
123,0.01,500,0.717496443812233,0.717496443812233,0.609375,0.738888888888889,0.738888888888889,0.6625
124,0.01,500,0.789447309447309,0.789447309447309,0.64375,0.719436119436119,0.719436119436119,0.5625
125,0.01,500,0.40592697961119,0.40592697961119,0.534375,0.373015873015873,0.373015873015873,0.55
126,0.01,500,0.788888888888889,0.788888888888889,0.55625,0.8,0.8,0.4875
127,0.01,500,0.875079365079365,0.875079365079365,0.60625,0.77010101010101,0.77010101010101,0.575
128,0.01,500,0.569298245614035,0.569298245614035,0.565625,0.537857142857143,0.537857142857143,0.5375
129,0.01,500,0.704520370573002,0.704520370573002,0.63125,0.747619047619048,0.747619047619048,0.625
130,0.01,500,0.45,0.45,0.5625,0.42,0.42,0.5125
131,0.01,500,0.727730587730588,0.727730587730588,0.575,0.721212121212121,0.721212121212121,0.5875
132,0.01,500,0.64775014459225,0.64775014459225,0.603125,0.637012987012987,0.637012987012987,0.55
133,0.01,500,0.877326649958229,0.877326649958229,0.6125,0.86,0.86,0.6
134,0.01,500,0.569991645781119,0.569991645781119,0.55625,0.516818181818182,0.516818181818182,0.575
135,0.01,500,0.663461538461538,0.663461538461538,0.6,0.654285714285714,0.654285714285714,0.5625
136,0.01,500,0.843488763488763,0.843488763488763,0.590625,0.896969696969697,0.896969696969697,0.625
137,0.01,500,0.605956558061821,0.605956558061821,0.55625,0.695,0.695,0.525
138,0.01,500,0.632962142962143,0.632962142962143,0.63125,0.596101676101676,0.596101676101676,0.65
139,0.01,500,0.608609514491867,0.608609514491867,0.578125,0.627777777777778,0.627777777777778,0.6625
140,0.01,500,0.816658086658087,0.816658086658087,0.553125,0.84,0.84,0.5875
141,0.01,500,0.886440286440286,0.886440286440286,0.64375,0.742539682539682,0.742539682539682,0.5125
142,0.01,500,0.752252252252252,0.752252252252252,0.625,0.634444444444444,0.634444444444444,0.4875
143,0.01,500,0.847839697282422,0.847839697282422,0.609375,0.81,0.81,0.6375
144,0.01,500,0.534465878119129,0.534465878119129,0.584375,0.521666666666667,0.521666666666667,0.5375
145,0.01,500,0.398393439879508,0.398393439879508,0.559375,0.405555555555556,0.405555555555556,0.4625
146,0.01,500,0.820943800943801,0.820943800943801,0.621875,0.789090909090909,0.789090909090909,0.5875
147,0.01,500,0.765910384068279,0.765910384068279,0.575,0.644444444444444,0.644444444444444,0.6
148,0.01,500,0.584050170675558,0.584050170675558,0.5625,0.648917748917749,0.648917748917749,0.6375
149,0.01,500,0.650523944997629,0.650523944997629,0.58125,0.634444444444444,0.634444444444444,0.5
150,0.01,500,0.566666666666667,0.566666666666667,0.55,0.655,0.655,0.6375
151,0.01,500,0.758704453441296,0.758704453441296,0.596875,0.771428571428571,0.771428571428571,0.5625
152,0.01,500,0.651640101640102,0.651640101640102,0.61875,0.608888888888889,0.608888888888889,0.625
153,0.01,500,0.737352737352737,0.737352737352737,0.625,0.692063492063492,0.692063492063492,0.5625
154,0.01,500,0.497325746799431,0.497325746799431,0.6125,0.483080808080808,0.483080808080808,0.575
155,0.01,500,0.788437118437118,0.788437118437118,0.628125,0.72025974025974,0.72025974025974,0.5375
156,0.01,500,0.813195548489666,0.813195548489666,0.590625,0.811111111111111,0.811111111111111,0.6125
157,0.01,500,0.584513084513084,0.584513084513084,0.559375,0.544848484848485,0.544848484848485,0.55
158,0.01,500,0.714448734448734,0.714448734448734,0.565625,0.711111111111111,0.711111111111111,0.5875
159,0.01,500,0.405284552845528,0.405284552845528,0.5625,0.36,0.36,0.4625
160,0.01,500,0.397900777769388,0.397900777769388,0.5875,0.395,0.395,0.525
161,0.01,500,0.755057099762982,0.755057099762982,0.628125,0.7495670995671,0.7495670995671,0.675
162,0.01,500,0.989189189189189,0.989189189189189,0.5875,0.963636363636364,0.963636363636364,0.5375
163,0.01,500,0.654054054054054,0.654054054054054,0.515625,0.646666666666667,0.646666666666667,0.6375
164,0.01,500,0.593273273273273,0.593273273273273,0.646875,0.580952380952381,0.580952380952381,0.5875
165,0.01,500,0.706140350877193,0.706140350877193,0.578125,0.61,0.61,0.55
166,0.01,500,0.725006435006435,0.725006435006435,0.61875,0.64989898989899,0.64989898989899,0.5875
167,0.01,500,0.318117468117468,0.318117468117468,0.56875,0.328469308469308,0.328469308469308,0.525
168,0.01,500,0.751035245772088,0.751035245772088,0.615625,0.668333333333333,0.668333333333333,0.575
169,0.01,500,0.765441757547021,0.765441757547021,0.615625,0.7,0.7,0.525
170,0.01,500,0.791891891891892,0.791891891891892,0.5875,0.808333333333333,0.808333333333333,0.6625
171,0.01,500,0.447275541795666,0.447275541795666,0.628125,0.54969696969697,0.54969696969697,0.65
172,0.01,500,0.475675675675676,0.475675675675676,0.528125,0.444444444444444,0.444444444444444,0.4625
173,0.01,500,0.674889847831024,0.674889847831024,0.54375,0.68030303030303,0.68030303030303,0.6125
174,0.01,500,0.505841995841996,0.505841995841996,0.5875,0.484126984126984,0.484126984126984,0.5625
175,0.01,500,0.700450450450451,0.700450450450451,0.59375,0.593333333333333,0.593333333333333,0.5375
176,0.01,500,0.72039312039312,0.72039312039312,0.6125,0.61025641025641,0.61025641025641,0.5625
177,0.01,500,0.475129664077032,0.475129664077032,0.565625,0.60952380952381,0.60952380952381,0.6875
178,0.01,500,0.821173790090199,0.821173790090199,0.603125,0.798484848484848,0.798484848484848,0.6
179,0.01,500,0.643716793716794,0.643716793716794,0.58125,0.714285714285714,0.714285714285714,0.55
180,0.01,500,0.723076923076923,0.723076923076923,0.565625,0.742857142857143,0.742857142857143,0.5625
181,0.01,500,0.77497817144876,0.77497817144876,0.596875,0.75,0.75,0.55
182,0.01,500,0.859459459459459,0.859459459459459,0.621875,0.797222222222222,0.797222222222222,0.525
183,0.01,500,0.603650793650794,0.603650793650794,0.615625,0.581818181818182,0.581818181818182,0.5375
184,0.01,500,0.527719156140209,0.527719156140209,0.6375,0.432015207015207,0.432015207015207,0.525
185,0.01,500,0.535349123192512,0.535349123192512,0.603125,0.612727272727273,0.612727272727273,0.625
186,0.01,500,0.403834506775683,0.403834506775683,0.534375,0.374747474747475,0.374747474747475,0.5125
187,0.01,500,0.499990020299618,0.499990020299618,0.590625,0.427813852813853,0.427813852813853,0.6
188,0.01,500,0.54918476330241,0.54918476330241,0.55625,0.560606060606061,0.560606060606061,0.4875
189,0.01,500,0.719928876244666,0.719928876244666,0.615625,0.583333333333333,0.583333333333333,0.5625
190,0.01,500,0.350213371266003,0.350213371266003,0.521875,0.366666666666667,0.366666666666667,0.5125
191,0.01,500,0.394497053444422,0.394497053444422,0.5625,0.427525252525253,0.427525252525253,0.6
192,0.01,500,0.417617354196302,0.417617354196302,0.55625,0.45,0.45,0.5625
193,0.01,500,0.466577964519141,0.466577964519141,0.5625,0.500606060606061,0.500606060606061,0.5875
194,0.01,500,0.630321524532051,0.630321524532051,0.603125,0.714343434343434,0.714343434343434,0.65
195,0.01,500,0.463434022257552,0.463434022257552,0.571875,0.394444444444444,0.394444444444444,0.5125
196,0.01,500,0.800426742532006,0.800426742532006,0.55625,0.8,0.8,0.575
197,0.01,500,0.519997013899453,0.519997013899453,0.571875,0.508888888888889,0.508888888888889,0.6125
198,0.01,500,0.630080985963339,0.630080985963339,0.61875,0.612539682539682,0.612539682539682,0.625
199,0.01,500,0.58421052631579,0.58421052631579,0.559375,0.538636363636364,0.538636363636364,0.6
200,0.01,500,0.717735382441265,0.717735382441265,0.625,0.716666666666667,0.716666666666667,0.6375
2,0.001,500,0.732840332538664,0.732840332538664,0.684375,0.482272727272727,0.482272727272727,0.475
3,0.001,500,0.52051948051948,0.52051948051948,0.65625,0.532307692307692,0.532307692307692,0.625
4,0.001,500,0.680733364943891,0.680733364943891,0.6875,0.751666666666667,0.751666666666667,0.6625
5,0.001,500,0.678166136060873,0.678166136060873,0.70625,0.698787878787879,0.698787878787879,0.6375
6,0.001,500,0.643485793485793,0.643485793485793,0.696875,0.636507936507936,0.636507936507936,0.7
7,0.001,500,0.6421162052741,0.6421162052741,0.690625,0.523174603174603,0.523174603174603,0.6125
8,0.001,500,0.667521367521367,0.667521367521367,0.71875,0.682857142857143,0.682857142857143,0.55
9,0.001,500,0.605086260349418,0.605086260349418,0.68125,0.495873015873016,0.495873015873016,0.6375
10,0.001,500,0.640726495726496,0.640726495726496,0.73125,0.51047619047619,0.51047619047619,0.6
11,0.001,500,0.700716265716266,0.700716265716266,0.70625,0.475036075036075,0.475036075036075,0.5375
12,0.001,500,0.61490990990991,0.61490990990991,0.671875,0.566666666666667,0.566666666666667,0.6625
13,0.001,500,0.69017798286091,0.69017798286091,0.715625,0.644444444444444,0.644444444444444,0.6
14,0.001,500,0.687390920332097,0.687390920332097,0.715625,0.657979797979798,0.657979797979798,0.65
15,0.001,500,0.587005577005577,0.587005577005577,0.684375,0.528030303030303,0.528030303030303,0.6125
16,0.001,500,0.702117907381065,0.702117907381065,0.7125,0.641111111111111,0.641111111111111,0.625
17,0.001,500,0.728450292397661,0.728450292397661,0.709375,0.766666666666667,0.766666666666667,0.6625
18,0.001,500,0.6396237996238,0.6396237996238,0.675,0.694660894660895,0.694660894660895,0.6875
19,0.001,500,0.670870870870871,0.670870870870871,0.703125,0.626666666666667,0.626666666666667,0.65
20,0.001,500,0.648897920476868,0.648897920476868,0.7,0.501868686868687,0.501868686868687,0.55
21,0.001,500,0.701988416988417,0.701988416988417,0.7125,0.637373737373737,0.637373737373737,0.6125
22,0.001,500,0.658955722639933,0.658955722639933,0.70625,0.718787878787879,0.718787878787879,0.6875
23,0.001,500,0.676232114467409,0.676232114467409,0.709375,0.6,0.6,0.5875
24,0.001,500,0.746505930241489,0.746505930241489,0.728125,0.68,0.68,0.6
25,0.001,500,0.681524558614342,0.681524558614342,0.71875,0.777777777777778,0.777777777777778,0.6875
26,0.001,500,0.691035696329814,0.691035696329814,0.715625,0.633333333333333,0.633333333333333,0.6125
27,0.001,500,0.723276175334999,0.723276175334999,0.728125,0.716161616161616,0.716161616161616,0.6
28,0.001,500,0.759886201991465,0.759886201991465,0.728125,0.594444444444444,0.594444444444444,0.5875
29,0.001,500,0.698635778635779,0.698635778635779,0.709375,0.779191919191919,0.779191919191919,0.7125
30,0.001,500,0.64242465137202,0.64242465137202,0.70625,0.701493506493507,0.701493506493507,0.7625
31,0.001,500,0.749518390571022,0.749518390571022,0.734375,0.716161616161616,0.716161616161616,0.675
32,0.001,500,0.67973104973105,0.67973104973105,0.7,0.683953823953824,0.683953823953824,0.7
33,0.001,500,0.760403270619989,0.760403270619989,0.70625,0.726190476190476,0.726190476190476,0.6375
34,0.001,500,0.744962406015038,0.744962406015038,0.703125,0.684090909090909,0.684090909090909,0.675
35,0.001,500,0.692895752895753,0.692895752895753,0.721875,0.803636363636364,0.803636363636364,0.725
36,0.001,500,0.662075233127865,0.662075233127865,0.715625,0.571111111111111,0.571111111111111,0.6125
37,0.001,500,0.794528551107498,0.794528551107498,0.70625,0.76489898989899,0.76489898989899,0.575
38,0.001,500,0.762450912450912,0.762450912450912,0.725,0.622539682539683,0.622539682539683,0.6625
39,0.001,500,0.763363363363363,0.763363363363363,0.725,0.815555555555555,0.815555555555555,0.725
40,0.001,500,0.726365136272257,0.726365136272257,0.721875,0.652777777777778,0.652777777777778,0.5625
41,0.001,500,0.726881166881167,0.726881166881167,0.7375,0.64020202020202,0.64020202020202,0.675
42,0.001,500,0.801734396935635,0.801734396935635,0.734375,0.737222222222222,0.737222222222222,0.6625
43,0.001,500,0.70134223292118,0.70134223292118,0.678125,0.813095238095238,0.813095238095238,0.6
44,0.001,500,0.853864390706496,0.853864390706496,0.66875,0.867777777777778,0.867777777777778,0.6
45,0.001,500,0.853318178859975,0.853318178859975,0.690625,0.827777777777778,0.827777777777778,0.6375
46,0.001,500,0.727102102102102,0.727102102102102,0.73125,0.753333333333333,0.753333333333333,0.7125
47,0.001,500,0.748888888888889,0.748888888888889,0.703125,0.729090909090909,0.729090909090909,0.65
48,0.001,500,0.754932514932515,0.754932514932515,0.715625,0.677518037518038,0.677518037518038,0.6125
49,0.001,500,0.635223950026582,0.635223950026582,0.65625,0.644615384615385,0.644615384615385,0.6375
50,0.001,500,0.658378378378378,0.658378378378378,0.659375,0.654545454545455,0.654545454545455,0.6375
51,0.001,500,0.625555555555556,0.625555555555556,0.675,0.551060606060606,0.551060606060606,0.575
52,0.001,500,0.774139524139524,0.774139524139524,0.709375,0.627619047619048,0.627619047619048,0.5375
53,0.001,500,0.641757547020705,0.641757547020705,0.65,0.517222222222222,0.517222222222222,0.625
54,0.001,500,0.697625595520332,0.697625595520332,0.7125,0.641060606060606,0.641060606060606,0.5875
55,0.001,500,0.811959607421361,0.811959607421361,0.71875,0.633888888888889,0.633888888888889,0.625
56,0.001,500,0.754285941097087,0.754285941097087,0.675,0.759285714285714,0.759285714285714,0.6125
57,0.001,500,0.715737802579908,0.715737802579908,0.671875,0.62484126984127,0.62484126984127,0.55
58,0.001,500,0.717254397254397,0.717254397254397,0.690625,0.586868686868687,0.586868686868687,0.5875
59,0.001,500,0.865570075570076,0.865570075570076,0.6625,0.713997113997114,0.713997113997114,0.5625
60,0.001,500,0.786080742396532,0.786080742396532,0.690625,0.611414141414141,0.611414141414141,0.5375
61,0.001,500,0.738847117794486,0.738847117794486,0.65,0.717832167832168,0.717832167832168,0.625
62,0.001,500,0.684681739155423,0.684681739155423,0.69375,0.588119658119658,0.588119658119658,0.6125
63,0.001,500,0.768276175334999,0.768276175334999,0.70625,0.756565656565657,0.756565656565657,0.55
64,0.001,500,0.937724026547556,0.937724026547556,0.6625,0.799494949494949,0.799494949494949,0.575
65,0.001,500,0.767709815078236,0.767709815078236,0.628125,0.702777777777778,0.702777777777778,0.55
66,0.001,500,0.685839598997494,0.685839598997494,0.659375,0.626904761904762,0.626904761904762,0.6375
67,0.001,500,0.702586274908256,0.702586274908256,0.628125,0.663636363636364,0.663636363636364,0.6
68,0.001,500,0.913015647226174,0.913015647226174,0.64375,0.882777777777778,0.882777777777778,0.525
69,0.001,500,0.926797385620915,0.926797385620915,0.6125,0.906666666666667,0.906666666666667,0.6
70,0.001,500,0.727988853252011,0.727988853252011,0.690625,0.616058941058941,0.616058941058941,0.6
71,0.001,500,0.85986370986371,0.85986370986371,0.615625,0.798095238095238,0.798095238095238,0.6
72,0.001,500,0.871903913080384,0.871903913080384,0.628125,0.758251748251748,0.758251748251748,0.6125
73,0.001,500,0.649701384438227,0.649701384438227,0.596875,0.676825396825397,0.676825396825397,0.6375
74,0.001,500,0.732239979917998,0.732239979917998,0.61875,0.669444444444444,0.669444444444444,0.675
75,0.001,500,0.66793448911096,0.66793448911096,0.6625,0.785050505050505,0.785050505050505,0.6875
76,0.001,500,0.751022375759218,0.751022375759218,0.621875,0.696212121212121,0.696212121212121,0.575
77,0.001,500,0.908571428571429,0.908571428571429,0.60625,0.828282828282828,0.828282828282828,0.5375
78,0.001,500,0.742330792330792,0.742330792330792,0.609375,0.755555555555556,0.755555555555556,0.5875
79,0.001,500,0.755075075075075,0.755075075075075,0.634375,0.677575757575758,0.677575757575758,0.6125
80,0.001,500,0.860540540540541,0.860540540540541,0.65,0.7,0.7,0.5375
81,0.001,500,0.818217338217338,0.818217338217338,0.628125,0.822857142857143,0.822857142857143,0.5375
82,0.001,500,0.858413757887442,0.858413757887442,0.653125,0.760357142857143,0.760357142857143,0.5375
83,0.001,500,0.685713643082064,0.685713643082064,0.65,0.59974025974026,0.59974025974026,0.55
84,0.001,500,0.87263970737655,0.87263970737655,0.59375,0.795454545454545,0.795454545454545,0.55
85,0.001,500,0.739715811480517,0.739715811480517,0.634375,0.75515873015873,0.75515873015873,0.7
