"k","Jakosc_TRAIN","Jakosc_TEST"
2,0.91651865008881,0.712903225806452
3,0.887921847246892,0.816129032258065
4,0.881527531083481,0.803225806451613
5,0.887211367673179,0.82741935483871
6,0.893428063943162,0.837096774193548
7,0.897690941385435,0.893548387096774
8,0.907992895204263,0.848387096774194
9,0.900532859680284,0.890322580645161
10,0.906571936056838,0.880645161290323
11,0.901598579040853,0.893548387096774
12,0.898046181172291,0.896774193548387
13,0.89360568383659,0.893548387096774
14,0.894138543516874,0.859677419354839
15,0.889698046181172,0.885483870967742
16,0.891119005328597,0.874193548387097
17,0.890230905861456,0.880645161290323
18,0.892717584369449,0.898387096774193
19,0.895559502664298,0.883870967741936
20,0.900355239786856,0.880645161290323
21,0.896269982238011,0.898387096774194
22,0.898401420959147,0.870967741935484
23,0.897335701598579,0.882258064516129
24,0.897158081705151,0.9
25,0.902131438721137,0.888709677419355
26,0.899644760213144,0.896774193548387
27,0.902131438721137,0.891935483870968
28,0.901953818827709,0.911290322580645
29,0.906571936056838,0.891935483870968
30,0.900710479573712,0.903225806451613
31,0.90461811722913,0.882258064516129
32,0.900532859680284,0.885483870967742
33,0.901420959147424,0.895161290322581
34,0.898046181172291,0.903225806451613
35,0.895026642984014,0.890322580645161
36,0.894671403197158,0.879032258064516
37,0.897690941385435,0.882258064516129
38,0.894138543516874,0.870967741935484
39,0.894316163410302,0.875806451612903
40,0.890763765541741,0.898387096774194
41,0.891474245115453,0.870967741935484
42,0.887921847246892,0.919354838709677
43,0.891119005328597,0.895161290322581
44,0.889520426287744,0.879032258064516
45,0.892362344582593,0.891935483870968
46,0.8898756660746,0.875806451612903
47,0.892362344582593,0.880645161290323
48,0.890408525754884,0.87741935483871
49,0.890763765541741,0.891935483870968
50,0.891296625222025,0.87741935483871
